sampleA,sampleB,jaccard
HG02257.paternal,HG02257.paternal,1.0
HG02257.paternal,HG02257.maternal,0.8862068088283318
HG02257.paternal,HG02559.paternal,0.8847159610728815
HG02257.paternal,HG02559.maternal,0.8859553124284876
HG02257.paternal,HG02486.paternal,0.8497710355576235
HG02257.paternal,HG02486.maternal,0.8845470987525292
HG02257.paternal,HG01891.maternal,0.8861311397788725
HG02257.paternal,HG01891.paternal,0.8858638390192506
HG02257.paternal,HG01258.maternal,0.8845782722510372
HG02257.paternal,HG03516.paternal,0.8844945707538733
HG02257.paternal,HG03516.maternal,0.8846357087702976
HG02257.paternal,HG01123.maternal,0.8861515570309101
HG02257.paternal,HG01258.paternal,0.8499089608160926
HG02257.paternal,HG01361.maternal,0.8846815674047867
HG02257.paternal,HG01123.paternal,0.8852270149003434
HG02257.paternal,HG01361.paternal,0.8857396982755041
HG02257.paternal,HG01358.maternal,0.8850944648324548
HG02257.paternal,HG02622.maternal,0.8846664108043067
HG02257.paternal,HG02622.paternal,0.8847808937685774
HG02257.paternal,HG02717.maternal,0.8848060948080093
HG02257.paternal,HG02630.paternal,0.8852556730199095
HG02257.paternal,HG02630.maternal,0.8849381238311674
HG02257.paternal,HG01358.paternal,0.850162648654028
HG02257.paternal,HG02717.paternal,0.8498209810889096
HG02257.paternal,HG02572.paternal,0.84420673213667
HG02257.paternal,HG02572.maternal,0.8789543794713831
HG02257.paternal,HG02886.maternal,0.8859279549893777
HG02257.paternal,HG02886.paternal,0.8854850485461075
HG02257.paternal,HG01175.paternal,0.8825426288140003
HG02257.paternal,HG01106.paternal,0.8497996620706129
HG02257.paternal,HG01175.maternal,0.8805228560305677
HG02257.paternal,HG00741.maternal,0.8827016723364823
HG02257.paternal,HG00741.paternal,0.8833499765128962
HG02257.paternal,HG01106.maternal,0.8850515798183747
HG02257.paternal,HG00438.maternal,0.8843290180685184
HG02257.paternal,HG02148.paternal,0.8844635654578467
HG02257.paternal,HG02148.maternal,0.8844511783812954
HG02257.paternal,HG01952.maternal,0.8852097783090722
HG02257.paternal,HG01952.paternal,0.8490449295842525
HG02257.paternal,HG00673.maternal,0.8852881066786209
HG02257.paternal,HG00621.paternal,0.8496285919663092
HG02257.paternal,HG00673.paternal,0.849545260875019
HG02257.paternal,HG00438.paternal,0.8845264678293641
HG02257.paternal,HG00621.maternal,0.8842225192170405
HG02257.paternal,HG01071.maternal,0.8820525494694639
HG02257.paternal,HG01928.maternal,0.8840348453637126
HG02257.paternal,HG01928.paternal,0.849786946909305
HG02257.paternal,HG00735.paternal,0.884805874395173
HG02257.paternal,HG01071.paternal,0.8817901137052861
HG02257.paternal,HG00735.maternal,0.88444727297058
HG02257.paternal,HG03579.maternal,0.884646804882059
HG02257.paternal,HG03579.paternal,0.8496284396538322
HG02257.paternal,HG01978.paternal,0.8828162114360345
HG02257.paternal,HG03453.maternal,0.885481792583401
HG02257.paternal,HG01978.maternal,0.8828687137737956
HG02257.paternal,HG03540.maternal,0.8853825021033995
HG02257.paternal,HG03453.paternal,0.8848373570797842
HG02257.paternal,HG03540.paternal,0.8855850800702
HG02257.paternal,HG03486.paternal,0.884732805029894
HG02257.paternal,NA18906.maternal,0.8849692312640653
HG02257.paternal,NA18906.paternal,0.8856467728307872
HG02257.paternal,HG03486.maternal,0.8849101104242024
HG02257.paternal,HG02818.paternal,0.8856696887870096
HG02257.paternal,HG02818.maternal,0.8856467405100582
HG02257.paternal,HG01243.paternal,0.850059460922199
HG02257.paternal,HG02080.paternal,0.8835944663675132
HG02257.paternal,HG02723.maternal,0.8854641513508686
HG02257.paternal,HG02723.paternal,0.8854206028544023
HG02257.paternal,HG02080.maternal,0.8835751647200925
HG02257.paternal,HG01109.maternal,0.8821388776507654
HG02257.paternal,HG01243.maternal,0.8841547673883003
HG02257.paternal,NA20129.paternal,0.8858573272379189
HG02257.paternal,NA20129.maternal,0.8863525902786143
HG02257.paternal,HG01109.paternal,0.8486400349449482
HG02257.paternal,NA21309.maternal,0.8846116531298882
HG02257.paternal,NA21309.paternal,0.88382945890786
HG02257.paternal,HG02109.maternal,0.8844763808205471
HG02257.paternal,HG03492.paternal,0.8482698639498043
HG02257.paternal,HG03492.maternal,0.8827822485998131
HG02257.paternal,HG02055.paternal,0.845715395706794
HG02257.paternal,HG02109.paternal,0.8830942559233846
HG02257.paternal,HG02055.maternal,0.8811486143071121
HG02257.paternal,HG03098.paternal,0.8472873932536018
HG02257.paternal,HG03098.maternal,0.8836062658794487
HG02257.paternal,HG00733.paternal,0.8862551445454456
HG02257.paternal,HG00733.maternal,0.8849417448227131
HG02257.paternal,HG02145.maternal,0.8816399288833832
HG02257.paternal,HG02145.paternal,0.8453950478674458
HG02257.maternal,HG02257.paternal,0.8862068088283318
HG02257.maternal,HG02257.maternal,1.0
HG02257.maternal,HG02559.paternal,0.8851212846803815
HG02257.maternal,HG02559.maternal,0.8865114617420934
HG02257.maternal,HG02486.paternal,0.8501491571609435
HG02257.maternal,HG02486.maternal,0.8861896959577888
HG02257.maternal,HG01891.maternal,0.8856306584169829
HG02257.maternal,HG01891.paternal,0.8864876544299971
HG02257.maternal,HG01258.maternal,0.8903648777806236
HG02257.maternal,HG03516.paternal,0.8834994837174006
HG02257.maternal,HG03516.maternal,0.8842734172067818
HG02257.maternal,HG01123.maternal,0.8906744175513182
HG02257.maternal,HG01258.paternal,0.8546472942766543
HG02257.maternal,HG01361.maternal,0.8892076652685014
HG02257.maternal,HG01123.paternal,0.8905074018015166
HG02257.maternal,HG01361.paternal,0.89104163239468
HG02257.maternal,HG01358.maternal,0.8899754788697799
HG02257.maternal,HG02622.maternal,0.8858565972849551
HG02257.maternal,HG02622.paternal,0.8848967189475809
HG02257.maternal,HG02717.maternal,0.8850393864282284
HG02257.maternal,HG02630.paternal,0.8846792171698438
HG02257.maternal,HG02630.maternal,0.8847831285986791
HG02257.maternal,HG01358.paternal,0.8552983238457331
HG02257.maternal,HG02717.paternal,0.8503621462198736
HG02257.maternal,HG02572.paternal,0.8442382042026724
HG02257.maternal,HG02572.maternal,0.8791033377602083
HG02257.maternal,HG02886.maternal,0.8852615255471007
HG02257.maternal,HG02886.paternal,0.8841448105573307
HG02257.maternal,HG01175.paternal,0.88781206706989
HG02257.maternal,HG01106.paternal,0.8544244071967807
HG02257.maternal,HG01175.maternal,0.8856014650932791
HG02257.maternal,HG00741.maternal,0.887395392134289
HG02257.maternal,HG00741.paternal,0.8886524560780252
HG02257.maternal,HG01106.maternal,0.89028096030376
HG02257.maternal,HG00438.maternal,0.887648157560752
HG02257.maternal,HG02148.paternal,0.8898467702219682
HG02257.maternal,HG02148.maternal,0.8897288625427622
HG02257.maternal,HG01952.maternal,0.890223834380253
HG02257.maternal,HG01952.paternal,0.8542375736188967
HG02257.maternal,HG00673.maternal,0.8890705727305729
HG02257.maternal,HG00621.paternal,0.8538665480482525
HG02257.maternal,HG00673.paternal,0.8533367350279107
